Attrition,Department,Gender,Age,MonthlyIncome,JobRole,YearsAtCompany
No,Research & Development,Male,53,2450,Laboratory Technician,2
No,Research & Development,Female,35,5093,Healthcare Representative,1
No,Research & Development,Male,32,5309,Laboratory Technician,10
No,Research & Development,Male,38,3057,Research Scientist,1
No,Research & Development,Female,34,5121,Manufacturing Director,0
No,Sales,Male,52,16856,Manager,34
Yes,Research & Development,Male,33,2686,Research Scientist,10
No,Sales,Female,25,6180,Sales Executive,6
No,Sales,Male,45,6632,Sales Representative,8
No,Research & Development,Male,23,3505,Research Scientist,2
Yes,Sales,Female,47,6397,Sales Executive,5
No,Sales,Male,34,6274,Sales Executive,6
Yes,Research & Development,Male,55,19859,Manager,5
No,Sales,Male,36,7587,Sales Executive,10
No,Research & Development,Male,52,4258,Research Scientist,4
No,Research & Development,Female,26,4364,Laboratory Technician,2
No,Research & Development,Female,29,4335,Healthcare Representative,8
Yes,Sales,Male,26,5326,Sales Executive,4
No,Research & Development,Female,34,3280,Research Scientist,4
No,Research & Development,Female,54,5485,Manufacturing Director,5
No,Sales,Male,27,4342,Sales Executive,4
No,Research & Development,Female,37,2782,Research Scientist,5
No,Research & Development,Female,38,5980,Manufacturing Director,15
No,Research & Development,Female,34,4381,Research Scientist,6
No,Sales,Female,35,2572,Sales Representative,3
No,Research & Development,Male,30,3833,Laboratory Technician,2
No,Research & Development,Female,40,4244,Healthcare Representative,8
No,Sales,Female,34,6500,Sales Executive,3
No,Research & Development,Male,42,18430,Manager,24
Yes,Research & Development,Male,23,1601,Laboratory Technician,0
No,Research & Development,Male,24,2694,Laboratory Technician,1
No,Research & Development,Female,52,3149,Laboratory Technician,5
No,Research & Development,Male,50,17639,Research Director,4
Yes,Research & Development,Female,29,2319,Laboratory Technician,1
No,Research & Development,Male,33,11691,Research Director,13
Yes,Sales,Female,33,5324,Sales Executive,3
No,Research & Development,Female,47,16752,Manager,26
No,Research & Development,Female,36,5228,Manufacturing Director,9
No,Research & Development,Male,29,2700,Research Scientist,10
Yes,Research & Development,Male,58,19246,Research Director,31
No,Research & Development,Female,35,2506,Research Scientist,2
No,Research & Development,Female,42,6062,Manufacturing Director,4
Yes,Research & Development,Male,28,4382,Research Scientist,2
No,Human Resources,Male,36,2143,Human Resources,5
No,Research & Development,Female,32,6162,Manufacturing Director,14
No,Research & Development,Male,40,5094,Laboratory Technician,1
No,Research & Development,Female,30,6877,Manufacturing Director,0
No,Research & Development,Female,45,2274,Research Scientist,1
No,Research & Development,Male,42,4434,Manufacturing Director,9
No,Research & Development,Male,38,6288,Healthcare Representative,4
No,Research & Development,Female,34,2553,Research Scientist,5
Yes,Sales,Female,49,7654,Sales Executive,9
Yes,Sales,Male,55,5160,Sales Executive,9
No,Research & Development,Male,43,17159,Research Director,4
No,Research & Development,Male,27,12808,Research Director,9
No,Research & Development,Male,35,10221,Manufacturing Director,8
No,Sales,Female,28,4779,Sales Executive,8
No,Human Resources,Male,34,3737,Human Resources,3
Yes,Research & Development,Female,26,2366,Research Scientist,8
No,Research & Development,Male,27,1706,Research Scientist,0
No,Sales,Female,51,16307,Manager,20
No,Research & Development,Male,44,5933,Healthcare Representative,5
No,Research & Development,Male,25,3424,Research Scientist,4
No,Sales,Male,33,4037,Sales Executive,9
No,Research & Development,Female,35,2559,Research Scientist,6
No,Sales,Male,36,6201,Sales Executive,18
No,Sales,Male,32,4403,Sales Executive,5
No,Research & Development,Male,30,3761,Research Scientist,5
No,Sales,Female,53,10934,Sales Executive,5
No,Sales,Male,45,10761,Sales Executive,5
No,Research & Development,Female,32,5175,Research Scientist,5
No,Research & Development,Female,52,13826,Manufacturing Director,9
No,Sales,Male,37,6334,Sales Executive,1
No,Human Resources,Male,28,4936,Human Resources,5
No,Research & Development,Male,22,4775,Manufacturing Director,2
No,Research & Development,Male,44,2818,Laboratory Technician,3
No,Research & Development,Male,42,2515,Research Scientist,2
No,Human Resources,Male,36,2342,Human Resources,5
No,Sales,Male,25,4194,Sales Executive,5
No,Research & Development,Female,35,10685,Manufacturing Director,17
Yes,Research & Development,Female,35,2022,Research Scientist,10
No,Research & Development,Male,32,2314,Laboratory Technician,3
No,Sales,Male,25,4256,Sales Executive,5
No,Research & Development,Female,49,3580,Research Scientist,4
No,Research & Development,Male,24,3162,Laboratory Technician,5
No,Sales,Male,32,6524,Sales Executive,10
No,Sales,Male,38,2899,Sales Representative,2
No,Research & Development,Female,42,5231,Laboratory Technician,5
No,Research & Development,Male,31,2356,Research Scientist,6
Yes,Sales,Female,29,2800,Sales Representative,3
No,Sales,Male,53,11836,Sales Executive,2
No,Research & Development,Male,35,10903,Manufacturing Director,13
No,Sales,Female,37,2973,Sales Representative,5
No,Research & Development,Female,53,14275,Research Director,12
No,Research & Development,Female,43,5562,Healthcare Representative,5
No,Sales,Female,47,4537,Sales Executive,7
No,Sales,Male,37,7642,Sales Executive,10
No,Research & Development,Male,50,17924,Manager,31
No,Human Resources,Female,39,5204,Human Resources,5
No,Human Resources,Male,33,2277,Human Resources,4
Yes,Research & Development,Male,32,2795,Laboratory Technician,1
No,Research & Development,Female,29,2532,Laboratory Technician,4
No,Research & Development,Male,44,2559,Research Scientist,8
No,Sales,Male,28,4908,Sales Executive,4
Yes,Research & Development,Male,58,2380,Laboratory Technician,1
No,Research & Development,Female,43,4765,Manufacturing Director,1
Yes,Sales,Female,20,2044,Sales Representative,2
Yes,Research & Development,Female,21,2693,Research Scientist,1
No,Research & Development,Male,36,6586,Healthcare Representative,16
No,Sales,Female,47,3294,Sales Representative,3
Yes,Research & Development,Female,22,4171,Manufacturing Director,3
Yes,Research & Development,Female,41,2778,Laboratory Technician,7
No,Research & Development,Female,28,2377,Research Scientist,2
Yes,Research & Development,Male,39,2404,Laboratory Technician,2
No,Research & Development,Female,27,2318,Research Scientist,1
No,Research & Development,Male,34,2008,Laboratory Technician,1
No,Sales,Female,42,6244,Sales Executive,5
No,Research & Development,Male,33,2799,Research Scientist,3
No,Research & Development,Female,58,10552,Healthcare Representative,6
No,Sales,Male,31,2329,Sales Representative,7
No,Research & Development,Female,35,4014,Healthcare Representative,10
No,Research & Development,Female,49,7403,Laboratory Technician,26
No,Research & Development,Male,48,2259,Research Scientist,0
No,Sales,Female,31,6932,Sales Executive,9
No,Research & Development,Male,36,4678,Research Scientist,6
No,Research & Development,Female,38,13582,Research Director,15
No,Research & Development,Female,32,2332,Laboratory Technician,3
Yes,Sales,Male,25,2413,Sales Representative,1
No,Sales,Male,40,9705,Sales Executive,1
No,Sales,Male,26,4294,Sales Executive,7
No,Research & Development,Male,41,4721,Laboratory Technician,18
No,Research & Development,Male,36,2519,Laboratory Technician,11
Yes,Sales,Male,19,2121,Sales Representative,1
Yes,Research & Development,Male,20,2973,Laboratory Technician,1
No,Research & Development,Female,31,5855,Healthcare Representative,9
No,Research & Development,Male,40,3617,Research Scientist,1
No,Research & Development,Female,32,6725,Manufacturing Director,8
Yes,Sales,Male,36,10325,Sales Executive,16
No,Research & Development,Female,33,6949,Healthcare Representative,5
Yes,Sales,Male,37,10609,Sales Executive,14
No,Research & Development,Male,45,4447,Laboratory Technician,9
No,Sales,Female,29,2157,Sales Representative,3
No,Sales,Female,35,4601,Sales Executive,5
No,Research & Development,Male,52,17099,Manager,9
Yes,Research & Development,Male,58,2479,Research Scientist,1
No,Sales,Male,53,14852,Manager,17
No,Sales,Male,30,7264,Sales Executive,8
No,Sales,Female,38,5666,Sales Executive,5
No,Sales,Male,35,7823,Sales Executive,10
No,Sales,Male,39,7880,Sales Executive,8
Yes,Sales,Female,40,13194,Sales Executive,1
No,Research & Development,Male,47,5067,Manufacturing Director,19
No,Sales,Male,36,5079,Sales Executive,7
Yes,Research & Development,Male,31,2321,Research Scientist,3
No,Sales,Male,33,17444,Manager,10
Yes,Research & Development,Female,29,2404,Research Scientist,0
No,Research & Development,Female,33,3452,Research Scientist,3
No,Research & Development,Female,45,2270,Laboratory Technician,5
No,Research & Development,Male,50,17399,Research Director,5
No,Research & Development,Female,33,5488,Healthcare Representative,6
No,Research & Development,Male,41,19419,Research Director,18
No,Research & Development,Female,27,2811,Laboratory Technician,2
No,Research & Development,Male,45,3633,Laboratory Technician,9
No,Sales,Female,47,4163,Sales Executive,9
Yes,Research & Development,Female,30,2132,Research Scientist,5
No,Research & Development,Male,50,13973,Manufacturing Director,12
No,Research & Development,Male,38,2684,Research Scientist,2
No,Research & Development,Male,46,10845,Manufacturing Director,8
No,Research & Development,Female,24,4377,Manufacturing Director,4
Yes,Research & Development,Male,35,3743,Laboratory Technician,4
No,Research & Development,Female,31,4148,Manufacturing Director,4
No,Research & Development,Male,18,1051,Research Scientist,0
No,Research & Development,Female,54,10739,Manufacturing Director,10
No,Research & Development,Female,35,10388,Healthcare Representative,16
No,Research & Development,Female,30,11416,Research Director,8
Yes,Research & Development,Female,20,2600,Research Scientist,1
Yes,Research & Development,Female,30,2422,Laboratory Technician,3
No,Research & Development,Male,26,5472,Manufacturing Director,8
No,Research & Development,Male,22,2451,Laboratory Technician,4
No,Research & Development,Male,48,4240,Healthcare Representative,2
No,Research & Development,Male,48,10999,Healthcare Representative,15
No,Research & Development,Female,41,5003,Manufacturing Director,2
No,Research & Development,Female,39,12742,Manufacturing Director,21
No,Research & Development,Female,27,4227,Manufacturing Director,3
No,Research & Development,Male,35,3917,Laboratory Technician,3
No,Sales,Male,42,18303,Manager,1
No,Research & Development,Male,50,2380,Laboratory Technician,1
No,Research & Development,Female,59,13726,Manufacturing Director,5
Yes,Research & Development,Female,37,4777,Healthcare Representative,1
No,Research & Development,Male,55,6385,Healthcare Representative,8
No,Research & Development,Female,41,19973,Research Director,21
No,Sales,Male,38,6861,Sales Executive,1
Yes,Sales,Male,26,4969,Sales Executive,2
Yes,Sales,Female,52,19845,Manager,32
No,Sales,Female,44,13320,Sales Executive,12
No,Sales,Female,50,6347,Sales Executive,18
Yes,Research & Development,Female,36,2743,Laboratory Technician,17
No,Research & Development,Female,39,10880,Manufacturing Director,21
No,Sales,Female,33,2342,Sales Representative,2
No,Sales,Female,45,17650,Manager,9
No,Research & Development,Female,32,4025,Laboratory Technician,8
No,Sales,Male,34,9725,Sales Executive,15
No,Sales,Male,59,11904,Manager,6
No,Human Resources,Male,45,2177,Human Resources,6
No,Sales,Female,53,7525,Sales Executive,15
Yes,Research & Development,Male,36,4834,Laboratory Technician,1
Yes,Research & Development,Male,26,2042,Research Scientist,3
No,Sales,Female,34,2220,Sales Representative,1
No,Sales,Male,28,1052,Sales Representative,1
No,Research & Development,Male,38,2821,Research Scientist,2
No,Research & Development,Male,50,19237,Research Director,8
No,Research & Development,Female,37,4107,Healthcare Representative,4
No,Sales,Male,40,8396,Sales Executive,7
No,Research & Development,Female,26,2007,Research Scientist,5
No,Research & Development,Male,46,19627,Research Director,2
No,Sales,Female,54,10686,Sales Executive,9
No,Research & Development,Female,56,2942,Research Scientist,5
No,Research & Development,Female,36,8858,Manufacturing Director,14
No,Research & Development,Male,55,16756,Manager,9
No,Sales,Male,43,10798,Sales Executive,1
Yes,Sales,Female,20,2323,Sales Representative,2
Yes,Research & Development,Female,21,1416,Laboratory Technician,1
No,Research & Development,Female,46,4615,Research Scientist,16
Yes,Research & Development,Male,51,2461,Research Scientist,10
Yes,Research & Development,Male,28,8722,Healthcare Representative,10
No,Research & Development,Male,26,3955,Laboratory Technician,5
No,Research & Development,Male,30,9957,Manufacturing Director,6
No,Research & Development,Female,41,3376,Research Scientist,10
No,Research & Development,Female,38,8823,Healthcare Representative,19
No,Research & Development,Male,40,10322,Healthcare Representative,11
No,Research & Development,Male,27,4621,Laboratory Technician,3
No,Research & Development,Male,55,10976,Manufacturing Director,3
No,Research & Development,Female,28,3660,Research Scientist,8
Yes,Human Resources,Male,44,10482,Human Resources,20
No,Research & Development,Male,33,7119,Healthcare Representative,3
Yes,Sales,Male,35,9582,Sales Executive,8
Yes,Research & Development,Female,33,4508,Research Scientist,13
No,Research & Development,Male,28,2207,Laboratory Technician,4
No,Research & Development,Male,34,7756,Healthcare Representative,6
No,Sales,Female,37,6694,Sales Executive,1
Yes,Research & Development,Male,25,3691,Laboratory Technician,7
Yes,Research & Development,Male,26,2377,Laboratory Technician,1
Yes,Research & Development,Male,33,2313,Research Scientist,2
No,Research & Development,Male,42,17665,Manager,22
Yes,Research & Development,Male,28,2596,Laboratory Technician,1
Yes,Sales,Male,50,4728,Sales Executive,0
No,Sales,Female,33,4302,Sales Executive,3
No,Research & Development,Male,34,2979,Research Scientist,0
No,Research & Development,Male,48,16885,Manager,5
No,Sales,Female,45,5593,Sales Executive,15
No,Research & Development,Male,52,10445,Healthcare Representative,8
No,Sales,Male,38,8740,Sales Executive,8
No,Research & Development,Female,29,2514,Research Scientist,7
No,Research & Development,Female,28,7655,Manufacturing Director,9
No,Sales,Male,46,17465,Manager,12
No,Sales,Male,38,7351,Sales Executive,1
No,Research & Development,Female,43,10820,Manufacturing Director,8
Yes,Research & Development,Male,39,12169,Healthcare Representative,18
No,Research & Development,Male,40,19626,Research Director,20
No,Research & Development,Female,21,2070,Research Scientist,2
No,Research & Development,Male,39,6782,Laboratory Technician,5
No,Research & Development,Male,36,7779,Manufacturing Director,11
No,Sales,Male,31,2791,Sales Representative,2
No,Research & Development,Male,28,3201,Research Scientist,5
No,Sales,Male,35,4968,Sales Executive,5
No,Sales,Male,49,13120,Sales Executive,9
No,Research & Development,Male,34,4033,Manufacturing Director,3
No,Research & Development,Female,29,3291,Research Scientist,7
No,Research & Development,Male,42,4272,Laboratory Technician,1
No,Research & Development,Male,29,5056,Manufacturing Director,10
No,Human Resources,Male,38,2844,Human Resources,7
No,Research & Development,Male,28,2703,Research Scientist,3
Yes,Research & Development,Male,18,1904,Laboratory Technician,0
Yes,Sales,Female,33,8224,Sales Executive,5
No,Research & Development,Male,41,4766,Laboratory Technician,1
Yes,Research & Development,Male,31,2610,Laboratory Technician,2
No,Research & Development,Female,37,5731,Healthcare Representative,6
No,Research & Development,Male,27,2539,Research Scientist,4
No,Sales,Female,34,5714,Sales Executive,6
No,Human Resources,Male,35,4323,Human Resources,5
Yes,Sales,Female,29,7336,Sales Executive,11
No,Research & Development,Female,40,13499,Research Director,18
Yes,Sales,Male,42,13758,Sales Executive,21
No,Sales,Male,42,5155,Sales Executive,6
No,Research & Development,Male,35,2258,Laboratory Technician,8
No,Research & Development,Male,24,3597,Laboratory Technician,4
Yes,Research & Development,Female,28,2515,Laboratory Technician,1
No,Research & Development,Male,26,4420,Laboratory Technician,8
No,Sales,Male,30,6578,Sales Executive,10
No,Research & Development,Female,40,4422,Research Scientist,1
No,Research & Development,Male,35,10274,Manufacturing Director,7
No,Research & Development,Male,34,5343,Healthcare Representative,13
No,Research & Development,Male,35,2376,Laboratory Technician,2
Yes,Sales,Female,43,5346,Sales Executive,4
No,Sales,Female,32,2827,Sales Representative,1
No,Research & Development,Female,56,19943,Manager,5
No,Research & Development,Female,29,3131,Laboratory Technician,10
No,Research & Development,Male,19,2552,Research Scientist,1
No,Research & Development,Female,45,4477,Research Scientist,3
No,Research & Development,Female,37,6474,Manufacturing Director,14
No,Research & Development,Male,20,3033,Laboratory Technician,2
Yes,Research & Development,Male,44,2936,Research Scientist,6
No,Research & Development,Female,53,18606,Manager,7
No,Research & Development,Female,29,2168,Research Scientist,5
Yes,Research & Development,Male,22,2853,Research Scientist,0
No,Sales,Female,46,17048,Manager,26
No,Research & Development,Male,44,2290,Research Scientist,0
No,Human Resources,Male,33,3600,Human Resources,5
Yes,Research & Development,Male,41,2107,Research Scientist,1
No,Sales,Male,30,4115,Sales Executive,4
No,Sales,Male,40,4327,Sales Executive,0
No,Research & Development,Female,50,17856,Manager,2
No,Research & Development,Male,28,3196,Laboratory Technician,6
No,Research & Development,Male,46,19081,Research Director,4
No,Sales,Male,35,8966,Sales Executive,7
Yes,Research & Development,Female,24,2210,Laboratory Technician,1
No,Sales,Female,33,4539,Sales Executive,10
No,Research & Development,Male,36,2741,Laboratory Technician,7
No,Research & Development,Male,30,3491,Laboratory Technician,10
No,Research & Development,Male,44,4541,Research Scientist,20
No,Sales,Male,20,2678,Sales Representative,2
No,Research & Development,Male,46,7379,Manufacturing Director,6
No,Human Resources,Male,42,6272,Human Resources,4
No,Sales,Male,60,5220,Sales Executive,11
No,Research & Development,Female,32,2743,Laboratory Technician,2
No,Research & Development,Female,32,4998,Research Scientist,8
No,Research & Development,Female,36,10252,Manufacturing Director,7
No,Research & Development,Male,33,2781,Research Scientist,14
No,Sales,Female,40,6852,Sales Executive,5
No,Sales,Male,25,4950,Sales Executive,4
No,Research & Development,Male,30,3579,Research Scientist,11
No,Research & Development,Female,42,13191,Research Director,1
No,Sales,Female,35,10377,Sales Executive,13
No,Research & Development,Male,27,2235,Research Scientist,9
No,Research & Development,Female,54,10502,Manufacturing Director,5
No,Research & Development,Female,44,2011,Research Scientist,10
Yes,Research & Development,Female,19,1859,Research Scientist,1
No,Research & Development,Female,29,3760,Research Scientist,3
No,Research & Development,Male,54,17779,Research Director,10
No,Research & Development,Male,31,6833,Healthcare Representative,6
No,Research & Development,Female,31,6812,Healthcare Representative,10
No,Sales,Female,59,5171,Sales Executive,6
No,Research & Development,Male,43,19740,Research Director,8
No,Research & Development,Male,49,18711,Manager,1
No,Research & Development,Male,36,3692,Research Scientist,11
No,Research & Development,Male,48,2559,Laboratory Technician,1
No,Research & Development,Male,27,2517,Research Scientist,5
No,Research & Development,Male,29,6623,Healthcare Representative,6
No,Research & Development,Male,48,18265,Research Director,1
No,Research & Development,Female,29,16124,Research Director,7
No,Research & Development,Female,34,2585,Research Scientist,1
No,Sales,Male,44,18213,Manager,22
No,Sales,Male,33,8380,Sales Executive,9
No,Research & Development,Female,19,2994,Research Scientist,1
No,Research & Development,Male,23,1223,Research Scientist,1
Yes,Sales,Male,25,1118,Sales Representative,1
No,Research & Development,Male,26,2875,Research Scientist,8
Yes,Sales,Female,45,18824,Manager,24
No,Research & Development,Male,55,13577,Healthcare Representative,33
Yes,Research & Development,Female,21,2625,Laboratory Technician,2
No,Sales,Female,46,18789,Manager,11
No,Sales,Female,34,4538,Sales Executive,3
No,Sales,Male,51,19847,Manager,29
No,Research & Development,Male,59,10512,Manufacturing Director,9
No,Research & Development,Female,34,4444,Laboratory Technician,11
No,Research & Development,Male,28,2154,Laboratory Technician,4
No,Research & Development,Male,44,19190,Manager,25
No,Human Resources,Male,34,4490,Human Resources,10
No,Research & Development,Male,35,3506,Research Scientist,3
No,Research & Development,Female,42,2372,Research Scientist,1
No,Sales,Female,43,10231,Sales Executive,21
No,Research & Development,Female,36,5410,Manufacturing Director,16
Yes,Research & Development,Female,44,7978,Healthcare Representative,10
No,Research & Development,Male,28,3867,Laboratory Technician,2
No,Research & Development,Female,51,2838,Laboratory Technician,7
No,Research & Development,Female,30,4695,Manufacturing Director,8
Yes,Research & Development,Female,29,3339,Laboratory Technician,7
No,Research & Development,Male,28,2080,Research Scientist,3
No,Research & Development,Female,25,2096,Research Scientist,2
No,Sales,Male,32,6209,Sales Executive,10
No,Research & Development,Female,45,18061,Manager,0
No,Research & Development,Female,39,17123,Manager,19
No,Research & Development,Male,58,2372,Research Scientist,2
Yes,Research & Development,Male,32,4883,Laboratory Technician,10
Yes,Research & Development,Male,39,3904,Research Scientist,5
No,Research & Development,Female,30,4627,Laboratory Technician,9
No,Research & Development,Female,36,7094,Healthcare Representative,7
No,Human Resources,Female,46,3423,Human Resources,7
No,Research & Development,Female,28,6674,Laboratory Technician,9
No,Research & Development,Female,50,16880,Research Director,3
Yes,Sales,Male,40,9094,Sales Executive,5
Yes,Sales,Male,52,8446,Sales Executive,8
No,Research & Development,Female,30,11916,Manager,9
No,Research & Development,Male,39,4534,Manufacturing Director,8
No,Sales,Female,31,9852,Sales Executive,10
No,Sales,Male,41,6151,Sales Executive,19
Yes,Sales,Female,31,2302,Sales Representative,3
Yes,Research & Development,Male,44,2362,Laboratory Technician,3
No,Research & Development,Male,42,17861,Manager,20
No,Research & Development,Female,55,19187,Manager,19
No,Human Resources,Male,56,19717,Manager,7
No,Research & Development,Male,40,3544,Research Scientist,4
No,Research & Development,Male,34,8500,Healthcare Representative,9
No,Research & Development,Male,40,4661,Research Scientist,9
No,Sales,Female,41,4103,Sales Executive,9
No,Research & Development,Male,35,4249,Research Scientist,9
No,Human Resources,Male,51,14026,Manager,33
No,Sales,Female,38,6893,Sales Executive,7
No,Sales,Female,34,6125,Sales Executive,10
No,Research & Development,Male,25,3669,Laboratory Technician,3
Yes,Research & Development,Female,58,10008,Manufacturing Director,10
No,Research & Development,Male,40,2387,Laboratory Technician,4
No,Sales,Female,36,4639,Sales Executive,15
No,Research & Development,Male,48,7898,Manufacturing Director,10
No,Sales,Female,27,2534,Sales Representative,1
No,Research & Development,Female,51,13142,Manufacturing Director,5
No,Research & Development,Female,18,1611,Laboratory Technician,0
No,Research & Development,Female,35,5363,Laboratory Technician,9
No,Sales,Male,27,5071,Sales Executive,6
Yes,Sales,Male,55,13695,Sales Executive,19
No,Research & Development,Male,56,13402,Manufacturing Director,19
No,Research & Development,Female,34,2029,Research Scientist,5
No,Research & Development,Female,40,6377,Healthcare Representative,12
No,Research & Development,Male,34,5429,Laboratory Technician,8
Yes,Sales,Female,31,2785,Sales Representative,1
Yes,Sales,Female,35,4614,Sales Executive,4
No,Research & Development,Male,38,2610,Research Scientist,4
No,Research & Development,Female,34,6687,Healthcare Representative,14
No,Sales,Male,28,4724,Sales Executive,5
Yes,Research & Development,Male,31,6179,Manufacturing Director,10
No,Sales,Male,39,6120,Sales Executive,5
No,Sales,Male,51,10596,Sales Executive,4
No,Research & Development,Female,41,5467,Research Scientist,6
No,Research & Development,Male,37,2996,Research Scientist,6
No,Sales,Male,33,9998,Sales Executive,5
No,Sales,Male,32,4078,Sales Executive,3
No,Research & Development,Male,39,10920,Healthcare Representative,6
No,Sales,Male,25,6232,Sales Executive,3
No,Research & Development,Female,52,13247,Manufacturing Director,5
No,Research & Development,Female,43,4081,Research Scientist,20
No,Sales,Female,27,5769,Sales Executive,6
Yes,Research & Development,Female,27,2394,Research Scientist,8
No,Research & Development,Male,26,3904,Research Scientist,4
No,Human Resources,Female,42,16799,Manager,20
No,Research & Development,Female,52,2950,Laboratory Technician,5
No,Research & Development,Female,37,3629,Laboratory Technician,3
No,Research & Development,Male,35,9362,Manufacturing Director,2
No,Research & Development,Male,25,3229,Laboratory Technician,3
No,Research & Development,Male,26,3578,Laboratory Technician,7
No,Human Resources,Male,29,7988,Human Resources,10
Yes,Research & Development,Male,49,4284,Laboratory Technician,4
Yes,Research & Development,Female,29,7553,Healthcare Representative,8
No,Research & Development,Female,54,17328,Research Director,20
No,Research & Development,Female,58,19701,Research Director,9
No,Research & Development,Male,55,14732,Research Director,7
No,Sales,Female,36,9278,Sales Executive,5
Yes,Sales,Female,31,1359,Sales Representative,1
No,Sales,Female,30,4779,Sales Executive,3
No,Research & Development,Female,31,16422,Research Director,3
No,Research & Development,Male,34,2996,Research Scientist,4
Yes,Research & Development,Female,31,1261,Research Scientist,1
No,Research & Development,Male,27,2099,Laboratory Technician,5
No,Research & Development,Male,36,5810,Laboratory Technician,10
No,Sales,Female,36,5647,Sales Executive,3
No,Research & Development,Male,47,3420,Research Scientist,6
Yes,Sales,Male,25,4400,Sales Representative,3
No,Research & Development,Male,37,3500,Laboratory Technician,6
No,Research & Development,Female,56,2066,Research Scientist,3
No,Research & Development,Female,47,17169,Research Director,20
No,Sales,Female,24,4162,Sales Executive,5
No,Sales,Male,32,9204,Sales Executive,4
No,Research & Development,Female,34,3294,Laboratory Technician,5
No,Research & Development,Male,41,2127,Research Scientist,4
No,Research & Development,Male,40,3975,Laboratory Technician,8
No,Sales,Male,31,10793,Sales Executive,13
Yes,Sales,Male,46,10096,Sales Executive,7
Yes,Research & Development,Female,39,3646,Laboratory Technician,1
Yes,Research & Development,Female,31,7446,Manufacturing Director,10
No,Research & Development,Male,45,10851,Healthcare Representative,7
No,Human Resources,Female,31,2109,Human Resources,3
Yes,Research & Development,Male,31,3722,Laboratory Technician,2
No,Research & Development,Male,45,9380,Manufacturing Director,3
No,Sales,Male,48,5486,Sales Executive,2
Yes,Human Resources,Female,34,2742,Human Resources,2
No,Research & Development,Male,40,13757,Research Director,9
No,Sales,Male,28,8463,Sales Executive,5
No,Research & Development,Male,44,3162,Laboratory Technician,5
No,Research & Development,Male,53,16598,Research Director,9
No,Research & Development,Male,49,6651,Healthcare Representative,3
No,Research & Development,Male,40,2345,Research Scientist,3
No,Research & Development,Male,44,3420,Research Scientist,5
No,Sales,Male,33,4373,Sales Executive,4
No,Sales,Male,34,4759,Sales Executive,13
No,Sales,Male,30,5301,Sales Executive,2
No,Research & Development,Female,42,3673,Laboratory Technician,12
No,Sales,Female,44,4768,Sales Executive,1
No,Research & Development,Male,30,1274,Research Scientist,1
No,Research & Development,Male,57,4900,Research Scientist,12
No,Research & Development,Male,49,10466,Healthcare Representative,8
No,Research & Development,Male,34,17007,Research Director,14
Yes,Sales,Male,28,2909,Sales Representative,3
Yes,Sales,Female,29,5765,Sales Executive,5
Yes,Sales,Female,34,4599,Sales Executive,15
No,Sales,Male,35,2404,Sales Representative,1
Yes,Research & Development,Male,24,3172,Laboratory Technician,0
No,Sales,Female,24,2033,Sales Representative,1
No,Research & Development,Male,44,10209,Manufacturing Director,2
No,Sales,Male,29,8620,Sales Executive,10
No,Human Resources,Male,30,2064,Human Resources,5
No,Research & Development,Male,55,4035,Healthcare Representative,3
No,Research & Development,Female,33,3838,Laboratory Technician,5
No,Sales,Female,47,4591,Sales Executive,5
Yes,Research & Development,Male,28,2561,Laboratory Technician,0
No,Research & Development,Male,28,1563,Research Scientist,1
No,Sales,Male,28,4898,Sales Executive,4
No,Research & Development,Female,49,4789,Laboratory Technician,3
No,Research & Development,Female,29,3180,Laboratory Technician,3
No,Research & Development,Male,28,6549,Manufacturing Director,8
No,Research & Development,Male,33,6388,Healthcare Representative,0
No,Research & Development,Male,32,11244,Manager,5
No,Research & Development,Female,54,16032,Manager,14
Yes,Research & Development,Male,29,2362,Research Scientist,9
No,Research & Development,Male,44,16328,Research Director,20
No,Research & Development,Female,39,8376,Manufacturing Director,2
No,Sales,Female,46,16606,Manager,13
No,Research & Development,Female,35,8606,Healthcare Representative,11
No,Research & Development,Male,23,2272,Laboratory Technician,4
Yes,Research & Development,Male,40,2018,Laboratory Technician,5
No,Sales,Male,34,7083,Sales Executive,10
Yes,Research & Development,Female,31,4084,Research Scientist,7
No,Research & Development,Male,50,14411,Research Director,32
No,Sales,Male,34,2308,Sales Representative,11
No,Research & Development,Male,42,4841,Laboratory Technician,1
No,Research & Development,Male,37,4285,Research Scientist,10
No,Research & Development,Female,29,9715,Healthcare Representative,7
No,Research & Development,Male,33,4320,Manufacturing Director,5
No,Research & Development,Male,45,2132,Research Scientist,5
No,Research & Development,Male,42,10124,Healthcare Representative,20
No,Sales,Male,40,5473,Sales Executive,8
No,Research & Development,Male,33,5207,Laboratory Technician,15
No,Human Resources,Male,40,16437,Manager,21
No,Research & Development,Male,24,2296,Laboratory Technician,1
No,Research & Development,Male,40,4069,Healthcare Representative,2
No,Research & Development,Male,45,7441,Healthcare Representative,10
No,Sales,Female,35,2430,Sales Representative,5
No,Research & Development,Female,32,5878,Research Scientist,7
No,Sales,Male,36,2644,Sales Representative,3
No,Sales,Female,48,6439,Sales Executive,8
No,Research & Development,Male,29,2451,Research Scientist,1
No,Sales,Male,33,6392,Sales Executive,2
Yes,Sales,Male,30,9714,Sales Executive,10
No,Human Resources,Male,38,6077,Human Resources,6
No,Research & Development,Male,35,2450,Laboratory Technician,3
No,Sales,Male,30,9250,Sales Executive,4
